officerId,name,oldMastery,newMastery,reason,reviewer,status
244,全琮,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
245,吕范,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
247,钟离牧,0 4 7 8,0 1 2 4,7偃月(防御)→1圆阵；8长蛇→2锥形(主兵种lightInfantry),待审,待审核
248,刘繇,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
250,陶谦,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
251,公孙度,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
252,曹丕,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
253,曹叡,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
255,蒋济,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
258,钟繇,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
260,李通,0 2 6 8,0 2 6,8长蛇已由既有锥形覆盖,待审,待审核
261,辛毗,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
266,杨仪,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
267,诸葛瞻,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
270,骆统,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
274,司马孚,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
276,卫瓘,0 2 6 7,0 1 2 6,7偃月(防御)→1圆阵,待审,待审核
277,刘璋,0 7,0 1,7偃月(防御)→1圆阵,待审,待审核
279,张杨,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
280,皇甫嵩,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
281,卢植,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
283,陈登,0 4 7,0 1 4,7偃月(防御)→1圆阵,待审,待审核
286,马腾,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
287,韩遂,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
290,陈宫,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
291,纪灵,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
292,蔡瑁,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
295,张任,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
297,孟获,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
298,祝融,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
300,刘谌,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
304,司马炎,0 2 4 7,0 1 2 4,7偃月(防御)→1圆阵,待审,待审核
305,公孙康,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
306,公孙渊,0 2 7,0 1 2,7偃月(防御)→1圆阵,待审,待审核
